run_order,replicate,trt,rotor_length,leg_length,leg_width,paper_clip,flight_time
1,1,abd,1,1,0,1,2.46
2,3,abc,1,1,1,0,2.93
3,1,1,0,0,0,0,2.93
4,1,acd,1,0,1,1,2.26
5,2,d,0,0,0,1,2.43
6,1,ad,1,0,0,1,1.91
7,1,b,0,1,0,0,2.54
8,1,cd,0,0,1,1,2.28
9,2,bc,0,1,1,0,2.31
10,2,abcd,1,1,1,1,2.29
11,1,abc,1,1,1,0,2.96
12,2,c,0,0,1,0,2.78
13,1,ac,1,0,1,0,3.01
14,2,cd,0,0,1,1,2.33
15,3,a,1,0,0,0,1.89
16,3,ab,1,1,0,0,3.01
17,4,1,0,0,0,0,3.01
18,2,b,0,1,0,0,2.61
19,2,ab,1,1,0,0,1.89
20,1,c,0,0,1,0,2.81
21,3,d,0,0,0,1,2.46
22,2,a,1,0,0,0,1.88
23,1,d,0,0,0,1,2.38
24,4,acd,1,0,1,1,2.68
25,4,b,0,1,0,0,2.73
26,3,abd,1,1,0,1,2.26
27,2,ac,1,0,1,0,2.14
28,4,abd,1,1,0,1,2.29
29,4,bcd,0,1,1,1,2.09
30,3,bcd,0,1,1,1,2.24
31,4,abc,1,1,1,0,2.38
32,1,abcd,1,1,1,1,2.63
33,4,cd,0,0,1,1,2.28
34,4,bc,0,1,1,0,2.39
35,3,bc,0,1,1,0,2.61
36,1,bc,0,1,1,0,2.53
37,3,acd,1,0,1,1,2.64
38,4,c,0,0,1,0,2.76
39,1,a,1,0,0,0,1.59
40,2,abc,1,1,1,0,2.08
41,2,acd,1,0,1,1,2.66
42,2,ad,1,0,0,1,1.89
43,2,bcd,0,1,1,1,2.04
44,4,ac,1,0,1,0,2.94
45,1,ab,1,1,0,0,3.16
46,2,1,0,0,0,0,2.68
47,2,bd,0,1,0,1,2.24
48,3,1,0,0,0,0,3.06
49,3,abcd,1,1,1,1,2.58
50,4,ad,1,0,0,1,1.98
51,4,a,1,0,0,0,1.89
52,4,bd,0,1,0,1,2.24
53,2,abd,1,1,0,1,2.48
54,3,c,0,0,1,0,2.58
55,3,bd,0,1,0,1,2.16
56,3,b,0,1,0,0,2.58
57,4,abcd,1,1,1,1,2.41
58,1,bd,0,1,0,1,2.18
59,4,d,0,0,0,1,2.46
60,3,ac,1,0,1,0,1.93
61,3,cd,0,0,1,1,2.46
62,1,bcd,0,1,1,1,2.18
63,4,ab,1,1,0,0,3.04
64,3,ad,1,0,0,1,1.96
